date,time,code,open,high,low,close,volume,amount
2025-03-18,20250318145500000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,394100,3590432.0000
2025-03-18,20250318150000000,sh.600004,9.1100000000,9.1300000000,9.1100000000,9.1100000000,533200,4860640.0000
2025-03-19,20250319093500000,sh.600004,9.1100000000,9.1100000000,9.0900000000,9.1000000000,627600,5714845.0000
2025-03-19,20250319094000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1200000000,377500,3439887.0000
2025-03-19,20250319094500000,sh.600004,9.1100000000,9.1400000000,9.1100000000,9.1300000000,646100,5896005.0000
2025-03-19,20250319095000000,sh.600004,9.1200000000,9.1400000000,9.1200000000,9.1400000000,784800,7168723.0000
2025-03-19,20250319095500000,sh.600004,9.1400000000,9.1400000000,9.1200000000,9.1200000000,654400,5973842.0000
2025-03-19,20250319100000000,sh.600004,9.1300000000,9.1300000000,9.1100000000,9.1100000000,294100,2681174.0000
2025-03-19,20250319100500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1200000000,161200,1468964.0000
2025-03-19,20250319101000000,sh.600004,9.1200000000,9.1200000000,9.1100000000,9.1100000000,86800,791300.0000
2025-03-19,20250319101500000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1000000000,337900,3078060.0000
2025-03-19,20250319102000000,sh.600004,9.1000000000,9.1200000000,9.1000000000,9.1200000000,354900,3233900.0000
2025-03-19,20250319102500000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,234000,2131792.0000
2025-03-19,20250319103000000,sh.600004,9.1000000000,9.1200000000,9.1000000000,9.1100000000,272900,2485384.0000
2025-03-19,20250319103500000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1200000000,166700,1519400.0000
2025-03-19,20250319104000000,sh.600004,9.1200000000,9.1200000000,9.1000000000,9.1100000000,414200,3774268.0000
2025-03-19,20250319104500000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1200000000,107900,983156.0000
2025-03-19,20250319105000000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1200000000,136200,1241728.0000
2025-03-19,20250319105500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,236000,2150396.0000
2025-03-19,20250319110000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1000000000,224300,2043316.0000
2025-03-19,20250319110500000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,87000,792240.0000
2025-03-19,20250319111000000,sh.600004,9.1000000000,9.1200000000,9.1000000000,9.1000000000,311800,2840384.0000
2025-03-19,20250319111500000,sh.600004,9.1000000000,9.1200000000,9.1000000000,9.1000000000,99400,905360.0000
2025-03-19,20250319112000000,sh.600004,9.1000000000,9.1200000000,9.1000000000,9.1100000000,95600,870692.0000
2025-03-19,20250319112500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,90700,826444.0000
2025-03-19,20250319113000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,267500,2436840.0000
2025-03-19,20250319130500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,204500,1863028.0000
2025-03-19,20250319131000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,146200,1331748.0000
2025-03-19,20250319131500000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,133800,1218464.0000
2025-03-19,20250319132000000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,112200,1022808.0000
2025-03-19,20250319132500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,78500,715768.0000
2025-03-19,20250319133000000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,59700,544176.0000
2025-03-19,20250319133500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,181100,1651208.0000
2025-03-19,20250319134000000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,135700,1236608.0000
2025-03-19,20250319134500000,sh.600004,9.1100000000,9.1200000000,9.1100000000,9.1100000000,60600,552128.0000
2025-03-19,20250319135000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1000000000,447100,4072928.0000
2025-03-19,20250319135500000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1000000000,52500,477936.0000
2025-03-19,20250319140000000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,109100,993496.0000
2025-03-19,20250319140500000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,66500,605512.0000
2025-03-19,20250319141000000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,96100,875144.0000
2025-03-19,20250319141500000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,116500,1061040.0000
2025-03-19,20250319142000000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,196500,1788528.0000
2025-03-19,20250319142500000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,72700,662040.0000
2025-03-19,20250319143000000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1100000000,103900,946080.0000
2025-03-19,20250319143500000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1100000000,225000,2049088.0000
2025-03-19,20250319144000000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1100000000,115900,1055440.0000
2025-03-19,20250319144500000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1100000000,470300,4282288.0000
2025-03-19,20250319145000000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1100000000,296100,2697208.0000
2025-03-19,20250319145500000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1100000000,375200,3416504.0000
2025-03-19,20250319150000000,sh.600004,9.1100000000,9.1100000000,9.1000000000,9.1100000000,329900,3004248.0000
2025-03-20,20250320093500000,sh.600004,9.1200000000,9.1200000000,9.1000000000,9.1200000000,612500,5581795.0000
2025-03-20,20250320094000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,415500,3785151.0000
2025-03-20,20250320094500000,sh.600004,9.1000000000,9.1100000000,9.1000000000,9.1000000000,183700,1672308.0000
2025-03-20,20250320095000000,sh.600004,9.1100000000,9.1200000000,9.1000000000,9.1100000000,295600,2693079.0000
2025-03-20,20250320095500000,sh.600004,9.1100000000,9.1300000000,9.1100000000,9.1200000000,795800,7257191.0000
2025-03-20,20250320100000000,sh.600004,9.1200000000,9.1300000000,9.1100000000,9.1100000000,692900,6317796.0000
2025-03-20,20250320100500000,sh.600004,9.1100000000,9.1300000000,9.1100000000,9.1300000000,407500,3715642.0000
2025-03-20,20250320101000000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1200000000,362800,3311434.0000
2025-03-20,20250320101500000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1200000000,189200,1726276.0000
2025-03-20,20250320102000000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1200000000,302100,2755472.0000
2025-03-20,20250320102500000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1300000000,128400,1171244.0000
2025-03-20,20250320103000000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1300000000,84700,772700.0000
2025-03-20,20250320103500000,sh.600004,9.1200000000,9.1300000000,9.1200000000,9.1300000000,251000,2289596.0000
2025-03-20,20250320104000000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1300000000,144800,1321212.0000
2025-03-20,20250320104500000,sh.600004,9.1200000000,9.1300000000,9.1200000000,9.1200000000,142800,1303264.0000
2025-03-20,20250320105000000,sh.600004,9.1200000000,9.1300000000,9.1200000000,9.1200000000,184800,1686352.0000
2025-03-20,20250320105500000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1200000000,79000,720680.0000
2025-03-20,20250320110000000,sh.600004,9.1200000000,9.1300000000,9.1200000000,9.1200000000,396100,3614968.0000
2025-03-20,20250320110500000,sh.600004,9.1200000000,9.1300000000,9.1200000000,9.1200000000,139600,1273448.0000
2025-03-20,20250320111000000,sh.600004,9.1300000000,9.1300000000,9.1200000000,9.1300000000,129200,1179104.0000
